timestamp,sensor_00,sensor_01,sensor_02,sensor_03,sensor_04,sensor_05,sensor_06,sensor_07,sensor_08,sensor_09,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,sensor_22,sensor_23,sensor_24,sensor_25,sensor_26,sensor_27,sensor_28,sensor_29,sensor_30,sensor_31,sensor_32,sensor_33,sensor_34,sensor_35,sensor_36,sensor_37,sensor_38,sensor_39,sensor_40,sensor_41,sensor_42,sensor_43,sensor_44,sensor_45,sensor_46,sensor_47,sensor_48,sensor_49,sensor_50,sensor_51,machine_status,Date,Year,Month,Weekday,Day,Hour
2018-04-12 21:55:00,0.0,53.34201,52.821180000000005,43.402774810790994,202.526031494141,49.79289,3.219039,16.89091,16.86921,15.08247,35.53085,3.625588,1.602259,0.2370912,407.4979,451.3286,449.1867,2.387357,652.2382,390.5987,858.363,461.2751,955.7427,614.6786,653.9383,753.0676,570.8168,1161.131,783.6125,710.6481,960.9374,742.2943,566.6204,261.7709,399.1291,301.1411,114.2079,52.08333,35.41666,87.23958,39.58333,36.97916,50.78125,50.92593,51.21528,50.63657,46.00694,409.1435,121.5278,401.9097,324.6528,2,2018-04-12 21:55:00,2018,4,3,12,21
2018-04-12 21:56:00,0.0,53.55902,52.77777,43.402774810790994,204.72509765625,53.74214,3.045428,17.42621,15.74074,16.174770000000002,40.31071,3.730241,1.61221,0.3187984,404.9974,450.2004,454.0266,2.4481040000000003,651.1287,390.6628,857.0173,461.6187,951.306,612.6481,652.3843,750.5814,550.9968,1118.163,773.6210000000001,704.6296,1003.125,714.9668,548.0704,270.0769,403.3277,299.2007,110.5263,53.64583,35.41666,84.63541,40.625,36.979164123535206,49.47916,50.34722,51.21528,49.189820000000005,49.47917,431.713,133.1019,419.2708,341.7245,3,2018-04-12 21:56:00,2018,4,3,12,21
2018-04-12 21:57:00,0.0,53.55902,52.77777,43.402774810790994,201.137130737305,52.49996,7.537616000000001,13.53443,9.324364,16.05179,38.93098,3.816472,1.631223,0.3428673,409.981,447.9742,449.0287,2.410462,650.5953,390.4939,863.1273,458.519,948.8156,615.3629,646.3538,749.3739,553.7806,1147.219,783.528,716.2037,1040.104,740.6817,561.4838,265.9168,415.0607,305.2495,115.3448,55.20833,35.15625,81.25,40.88541,36.97916,48.17708,49.76852,50.92593,48.03241,53.81944,451.3889,140.0463,433.1597,466.1458,3,2018-04-12 21:57:00,2018,4,3,12,21
2018-04-12 21:58:00,0.0,52.77777,52.69096999999999,43.40277,204.030654907227,57.19875,7.609953,16.6088,16.2037,16.0952,33.43375,3.860711,1.622106,0.3046647,412.2902,449.5466,453.7787,2.429593,652.1424,390.2556,857.9081,461.163,950.7607,614.9879,649.2152,746.4882,541.1052,1131.809,787.4129,678.2407,976.5624,719.6953,558.5663,266.8813,415.8537,306.203,105.0438,57.03125,35.15625,79.16666,41.40625,36.71875,46.875,48.03241,50.34722,47.4537,58.15971999999999,466.4352,144.9653,442.7083,366.0301,3,2018-04-12 21:58:00,2018,4,3,12,21
2018-04-12 21:59:00,0.0,52.60416,52.73437,43.44618,203.567687988281,50.96181,7.573785000000001,16.70284,16.1603,16.08796,33.132259999999995,4.496508,1.65015,0.6061783000000001,408.3951,450.6098,444.7706,2.361692,652.0457,390.418,858.0203,460.7399,949.681,614.2903,649.3373,748.6567,546.8779,1148.804,782.2913,682.4074,930.2083,723.4662,550.8478,263.7073,403.5153,303.2734,113.034,57.55208,35.41666,75.26041,42.1875,36.71875,45.83333,47.4537,49.76852,46.58565,63.65741,474.8264,149.0162,449.6528,374.4213,3,2018-04-12 21:59:00,2018,4,3,12,21
2018-04-12 22:00:00,0.0,52.51736,52.69096999999999,43.44618,203.567687988281,49.78948,7.559317,16.56539,16.23987,16.05179,35.34599,12.02898,1.904167,0.5893425,411.0616,449.2088,441.355,2.311379,650.0242,391.6447,864.0715,459.4494,950.6841,614.7383,649.4259999999999,750.3677,550.1708,1145.063,780.6435,707.8704,949.9999,720.6281,542.5764,270.2823,410.3059,297.6039,119.8698,55.98958,35.41666,64.84375,44.53125,36.71875,44.27083,46.2963,48.03241,45.13889,75.23148,477.7199,162.6157,448.7847,356.1921,3,2018-04-12 22:00:00,2018,4,3,12,22
2018-04-12 22:01:00,0.0,52.51736,52.69096999999999,43.44618,203.567687988281,49.78948,7.559317,16.56539,16.23987,16.05179,35.34599,12.02898,1.904167,0.5893425,411.0616,449.2088,441.355,2.311379,650.0242,391.6447,864.0715,459.4494,950.6841,614.7383,649.4259999999999,750.3677,550.1708,1145.063,780.6435,707.8704,949.9999,720.6281,542.5764,270.2823,410.3059,297.6039,119.8698,55.98958,35.41666,64.84375,44.53125,36.71875,44.27083,46.2963,48.03241,45.13889,75.23148,477.7199,162.6157,448.7847,356.1921,3,2018-04-12 22:01:00,2018,4,3,12,22
2018-04-12 22:02:00,0.0,52.69096999999999,52.69096999999999,43.44618,202.988983154297,52.60891,7.537616000000001,16.56539,16.1603,16.0952,34.3512,12.01945,1.98083,0.5822550999999999,406.3699,449.6746,455.8357,2.471112,650.8201,389.6266,858.2369,461.0139,950.2665,611.0033,647.9211,749.0441,544.5641,1144.018,778.674,683.3333,977.6041,690.6581,536.6696,275.5438,420.9698,308.1932,124.409,54.42708,35.15625,60.41666,43.48958,36.45833,43.4895820617676,46.00694,47.4537,44.56018,80.15046,477.4305,174.7685,447.338,354.1667,3,2018-04-12 22:02:00,2018,4,3,12,22
2018-04-12 22:03:00,0.0,52.73437,52.69096999999999,43.44618,201.947326660156,27.16422,3.920717,16.52199,16.030089999999998,16.095195770263697,15.95249,6.750632,1.515972,0.2436228,409.2489,449.6769,442.4503,2.321735,650.2987,390.8171,861.8024,460.2484,950.6269,615.8072,650.3483,750.9905,531.5565,1140.9589999999998,773.2534,683.7963,974.9999,682.4599,547.3001,270.3545,420.9069,305.9391,108.0574,52.60416,34.89583,57.29166,42.96875,36.4583320617676,42.70833,45.13889,46.2963,44.56018,85.06944,478.588,182.2917,445.3125,357.6389,3,2018-04-12 22:03:00,2018,4,3,12,22
2018-04-12 22:04:00,0.0,51.5191,52.56076,43.44618,201.252868652344,4.165132,6.510417,16.70284,15.95052,16.0952,3.300802,3.901859,1.553072,0.2854297,405.9142,450.9272,447.6926,2.368341,649.4305,390.372,865.2104,461.3098,952.2413,616.5753,650.0259,750.1136,539.5022,1136.99,787.9681,696.7593,1007.812,739.1707,548.3113,266.3734,418.875,306.5424,115.1382,53.125,35.15625,57.8125,43.22916,36.4583320617676,42.1875,45.13889,46.00694,43.98148,96.06481,486.4005,186.3426,449.9421,375.0,3,2018-04-12 22:04:00,2018,4,3,12,22
